fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2011-07-19,4.02,62.52,0.6,0.0,2.16
2011-07-20,5.08,71.03,0.57,0.0,2.052
2011-07-21,7.58,54.27,0.59,0.0,2.124
2011-07-22,11.24,41.53,0.99,0.0,3.564
2011-07-23,11.08,59.08,0.85,0.0,3.06
2011-07-24,13.29,67.95,1.15,0.0,4.14
2011-07-25,14.73,62.62,1.18,0.0,4.248
2011-07-26,8.61,51.51,0.64,0.0,2.3040000000000003
2011-07-27,10.43,53.73,0.92,0.0,3.3120000000000003
2011-07-28,13.09,59.66,0.68,0.0,2.4480000000000004
2011-07-29,6.58,79.94,0.84,0.0,3.024
2011-07-30,4.14,76.35,0.86,0.0,3.096
2011-07-31,1.62,66.43,0.56,1.04,2.0160000000000005
2011-08-01,2.64,80.96,0.61,7.71,2.196
2011-08-02,5.29,62.98,0.7,0.0,2.52
2011-08-03,7.23,47.32,1.1,0.0,3.9600000000000004
2011-08-04,6.86,48.66,1.1,0.0,3.9600000000000004
2011-08-05,12.31,39.37,0.88,0.0,3.168
2011-08-06,12.5,47.38,1.06,0.0,3.8160000000000003
2011-08-07,13.27,59.72,0.67,0.0,2.4120000000000004
2011-08-08,12.93,66.14,0.69,0.0,2.484
2011-08-09,12.38,67.2,0.9,0.0,3.24
2011-08-10,16.43,66.48,0.85,0.0,3.06
2011-08-11,19.91,66.9,0.86,0.0,3.096
2011-08-12,17.36,68.19,1.02,0.0,3.672
2011-08-13,10.41,57.83,0.73,0.0,2.628
2011-08-14,8.61,55.43,0.9,0.0,3.24
2011-08-15,12.62,67.49,0.65,0.0,2.3400000000000003
2011-08-16,13.33,69.01,0.76,0.05,2.736
2011-08-17,12.1,53.06,1.05,0.01,3.7800000000000002
2011-08-18,10.28,56.67,1.15,0.0,4.14
2011-08-19,5.51,53.89,1.33,0.0,4.788
2011-08-20,5.19,36.54,0.77,0.0,2.7720000000000002
2011-08-21,3.83,52.09,0.72,0.0,2.592
2011-08-22,5.37,57.99,0.66,0.0,2.3760000000000003
2011-08-23,7.84,45.99,0.97,0.0,3.492
2011-08-24,10.28,44.51,1.13,0.0,4.068
2011-08-25,8.86,56.57,0.72,0.0,2.592
2011-08-26,8.6,65.5,0.97,0.0,3.492
2011-08-27,14.3,56.31,0.8,0.0,2.8800000000000003
2011-08-28,10.82,49.73,0.81,0.0,2.9160000000000004
2011-08-29,13.22,36.19,0.99,0.0,3.564
2011-08-30,10.51,40.73,0.78,0.0,2.8080000000000003
2011-08-31,9.96,40.79,1.07,0.0,3.8520000000000003
2011-09-01,12.24,32.5,1.57,0.0,5.652
2011-09-02,17.64,28.82,1.54,0.0,5.5440000000000005
2011-09-03,19.46,33.13,1.2,0.0,4.32
2011-09-04,12.13,31.06,1.1,0.0,3.9600000000000004
2011-09-05,11.7,33.67,0.65,0.0,2.3400000000000003
2011-09-06,12.51,29.08,0.94,0.0,3.384
2011-09-07,13.22,29.92,0.82,0.0,2.952
2011-09-08,15.13,28.69,0.62,0.0,2.232
2011-09-09,16.68,23.8,0.92,0.0,3.3120000000000003
2011-09-10,14.86,23.84,1.16,0.0,4.176
